length,pcb,n,year
75.946,31.3,1,1974
74.93,7.9,1,1974
68.58,26.7,1,1974
66.802,8.3,1,1974
69.596,11.3,1,1974
69.088,12.6,1,1974
66.548,8.8,1,1974
67.564,10.8,1,1974
52.832,4.4,1,1974
49.022,4.8,1,1974
52.578,4.2,1,1974
48.514,6.8,1,1974
41.402,2.5,1,1974
43.942,3.1,1,1974
51.562,2.6,1,1974
40.894,2.1,1,1974
63.5,11.8,1,1974
44.45,4.9,1,1974
65.532,9.4,1,1974
64.516,16.5,1,1974
67.31,18.5,1,1974
72.898,41.9,1,1974
73.914,35.9,1,1974
70.104,28.1,1,1974
70.358,19.5,1,1974
71.882,37.2,1,1974
75.692,43.8,1,1974
70.358,34.4,1,1974
46.99,4.4,1,1975
45.212,4.2,1,1975
46.736,9.5,1,1975
48.514,3.2,1,1975
48.768,6.7,1,1975
49.53,4.8,1,1975
50.8,6.3,1,1975
52.07,2.3,1,1975
55.88,1.6,1,1975
56.388,5.3,1,1975
72.898,18.2,1,1975
49.53,1.8,1,1975
50.8,0.09,1,1975
30.988,0.5,1,1975
42.418,2.4,1,1975
55.372,4,1,1975
74.93,10.6,1,1975
51.816,9,1,1975
55.626,3.8,1,1975
61.722,10.9,1,1975
65.532,11.8,1,1975
46.736,3.2,1,1975
45.974,2.3,1,1975
48.768,1.3,1,1975
63.754,7.5,1,1975
47.752,3.5,1,1975
49.022,2.7,1,1975
56.134,5.8,1,1975
77.47,26.5,1,1975
32.512,1.9,1,1976
68.58,16,1,1976
64.008,13,1,1976
71.882,14,1,1976
70.612,14.3,2,1976
74.168,21,2,1976
60.96,5.6,1,1976
59.69,5.7,1,1976
61.722,7.1,1,1976
66.548,14,1,1976
61.468,6,1,1976
58.674,3.3,1,1976
50.8,2.2,1,1976
70.866,33.8,1,1976
53.34,5.9,1,1976
57.912,6.1,1,1976
55.372,5.4,1,1976
53.34,3.1,1,1976
54.356,4.8,1,1976
58.928,4.3,1,1976
64.008,4.8,1,1976
56.642,3,1,1976
55.372,2.9,1,1976
65.278,13.5,1,1976
55.372,3,1,1976
78.74,25,1,1976
57.658,7.9,1,1976
35.306,1.3,1,1977
32.258,1.2,1,1977
37.084,1.2,1,1977
57.658,2.2,1,1978
75.438,28,1,1978
67.31,10,1,1978
69.088,5.2,1,1978
61.214,4.1,1,1978
36.068,1.4,1,1978
35.56,0.8,1,1978
45.72,7.2,1,1978
40.64,2.7,1,1978
45.72,4,1,1978
49.53,7,1,1978
40.64,0.6,2,1978
38.1,1.6,1,1978
46.99,2.7,1,1978
51.054,1.9,1,1978
69.088,5.3,1,1978
71.882,7.2,1,1978
68.58,3.9,1,1978
79.756,1,1,1978
78.994,20,1,1978
81.534,24,1,1978
67.31,37,1,1978
63.5,3.2,1,1978
65.786,14,1,1978
53.848,2.2,1,1978
63.754,3.3,1,1978
48.26,2.3,1,1979
54.864,2.3,1,1979
78.994,21,1,1979
67.31,5.52,1,1980
56.134,2.6,1,1980
57.658,2.52,1,1980
47.244,1.55,1,1980
45.212,1.84,1,1980
51.816,1.95,1,1980
55.118,2.08,1,1980
80.264,27,1,1982
71.12,6.9,1,1982
78.994,16,1,1982
82.55,20,1,1982
84.074,15,1,1982
71.12,9.2,1,1982
NA,12,1,1982
72.39,14,1,1982
71.882,6.4,1,1982
71.882,3.7,1,1982
77,3.04,1,1983
70.39999999,2.86,1,1983
78.00000001,3.14,1,1983
67.09999999,2.66,1,1983
68.3,2.44,1,1983
70.90000001,3.47,1,1983
NA,1.82,1,1983
NA,1.17,1,1983
NA,1.5,1,1983
NA,0.6,1,1983
NA,1.29,1,1983
NA,1.52,1,1983
NA,1.83,1,1983
64.3,3.75,1,1983
66.29999999,1.37,1,1983
68.09999999,2.3,1,1983
75.89999999,4.28,1,1983
63.19999999,2.55,1,1983
61,1.83,1,1983
NA,3.01,1,1983
NA,1.43,1,1983
68.79999999,6.05,1,1983
72.40000001,2.07,1,1983
68.79999999,1.82,1,1983
60.2,1.16,1,1983
58.39999999,1.21,1,1983
47.80000001,0.4,1,1983
58.20000001,1.25,1,1983
71.4,2.46,1,1983
66.29999999,2.2,1,1983
67.29999999,2.38,1,1983
70.39999999,1.82,1,1983
74.20000001,3.04,1,1983
75.4,4.56,1,1983
76.708,12,1,1983
59.182,2.4,1,1983
49.53,1,1,1983
64.008,5,1,1983
65.532,4.1,1,1983
68.58,8,1,1983
74.422,7,1,1983
74.676,8.9,1,1983
72.136,4.3,1,1983
70.104,6.3,1,1983
74.93,5.6,1,1983
71.628,8.3,1,1983
70.358,7.3,1,1983
56.642,1.3,1,1983
39.878,0.73,1,1983
62.23,2.2,1,1983
59.69,2.4,1,1983
69.088,9.7,1,1983
71.882,9.5,1,1983
72.898,10,1,1983
67.564,5,1,1983
71.374,3.9,1,1983
63.80000001,1.2,1,1984
66.29999999,1,1,1984
70.90000001,1.1,1,1984
59.90000001,1.5,1,1984
67.29999999,2.72,1,1984
74.20000001,1.25,1,1984
61.50000001,0.7,1,1984
62.49999999,0.9,1,1984
66.29999999,3.7,1,1984
67.09999999,2.49,1,1984
63.00000001,1.08,1,1984
66.8,0.91,1,1984
NA,1.75,1,1984
NA,0.75,1,1984
NA,0.87,1,1984
NA,0.77,1,1984
NA,2.95,1,1984
NA,1.45,1,1984
52.60000001,1.14,1,1984
49.50000001,0.89,1,1984
52.09999999,1.12,1,1984
54.59999999,0.75,1,1984
56.4,0.6,1,1984
56.4,0.66,1,1984
64.50000001,0.93,1,1984
65.30000001,0.82,1,1984
67.09999999,1.83,1,1984
58.7,0.45,1,1984
51.10000001,0.37,1,1984
52.09999999,0.96,1,1984
60.50000001,1.35,1,1984
62.49999999,2.18,1,1984
67.29999999,4.3,1,1984
69.1,2.55,1,1984
66,1.27,1,1984
47.00000001,1.59,1,1984
53.1,1.01,1,1984
49.3,0.99,1,1984
49.50000001,0.86,1,1984
61.50000001,1.42,1,1984
68.79999999,2.2,1,1984
62.7,1.53,1,1984
63.99999999,1.65,1,1984
65.8,1.33,1,1984
71.60000001,2.88,1,1984
67.29999999,1.4,1,1984
62.49999999,1.11,1,1984
53.59999999,0.76,1,1984
46,0.64,1,1984
65.49999999,1.08,1,1984
57.69999999,0.66,1,1984
56.4,0.83,1,1984
58.20000001,0.64,1,1984
71.60000001,0.93,1,1984
48.768,1.3,3,1984
60.96,1.6,1,1984
51.562,1.4,4,1984
37.9984,0.2,1,1984
45.0088,0.9,1,1984
33.528,0.84,1,1984
42.291,1.2,1,1984
34.6964,0.63,1,1984
61.976,2.6,1,1984
32.004,0.62,1,1984
35.7886,1,1,1984
29.3878,0.62,1,1984
30.3022,0.54,1,1984
51.816,2,1,1984
33.7058,0.56,1,1984
35.8902,0.65,1,1984
37.3888,0.55,1,1984
32.1056,0.72,1,1984
59.3852,4.6,1,1984
59.2074,2.1,1,1984
74.168,11,1,1984
44.704,1.1,1,1984
29.718,0.27,1,1984
30.226,0.46,1,1984
38.1,1,2,1984
49.53,1.3,1,1984
58.42,1.9,2,1984
71.882,5.4,1,1984
53.975,1.5,2,1984
60.96,3.7,2,1984
79.375,4.2,1,1984
78.74,3.3,1,1984
60.325,2.2,1,1984
55.88,1.8,1,1984
65.405,2.4,1,1984
59.69,1.7,1,1984
80.645,6.8,1,1984
67.818,3.7,1,1984
86.36,17,1,1985
78.74,15,1,1985
59.69,1.1,1,1985
33.0962,0.88,1,1985
46.482,0.45,1,1985
77.978,9.8,1,1985
78.486,5.7,1,1985
64.4906,2.6,1,1985
55.9816,1.3,1,1985
56.4896,1.3,1,1985
64.6938,2,1,1985
67.7672,5,1,1985
62.0014,2.4,1,1985
61.4934,1.5,1,1985
67.4878,3.1,1,1985
78.994,14,1,1985
51.9938,1.4,1,1985
51.9938,1.1,1,1985
56.896,1.5,1,1985
56.4896,1.3,1,1985
62.992,2.4,1,1985
65.9892,3.1,1,1985
67.0052,3.9,1,1985
79.502,4.9,1,1985
45.9486,1.2,1,1985
55.499,1,1,1985
39.0906,0.63,1,1985
39.3954,0.64,1,1985
39.2938,0.68,1,1985
39.497,0.7,1,1985
39.8018,0.79,1,1985
40.1066,0.55,1,1985
42.3926,0.95,1,1985
42.291,0.96,1,1985
41.6052,0.66,1,1985
43.1038,1.2,1,1985
44.0944,0.7,1,1985
46.8884,0.94,1,1985
47.1932,0.87,1,1985
73.5076,9.7,1,1985
78.994,8.1,1,1985
65.9892,3.6,1,1985
72.9996,3.5,1,1985
71.501,4.8,1,1985
68.5038,4.5,1,1985
60.1218,1.7,1,1985
62.0014,1.9,1,1985
86.5124,15,1,1985
84.5058,10,1,1985
71.501,4.8,1,1985
76.5048,11,1,1985
75.9968,7.1,1,1985
80.4926,5.3,1,1985
72.4916,6.3,1,1985
70.0024,2.6,1,1985
72.9996,3.3,1,1985
81.0006,7.8,1,1985
87.9856,8,1,1985
69.4944,3.3,1,1985
72.4916,4.4,1,1985
53.4924,0.76,1,1985
76.5048,5.6,1,1985
73.5076,4.3,1,1985
62.5094,2.8,1,1985
68.5038,8,1,1985
62.992,7.2,1,1985
55.499,1.1,1,1985
56.9976,1.1,1,1985
61.4934,1.2,1,1985
68.5038,4.2,1,1985
67.9958,3.2,1,1985
78.994,5.2,1,1985
70.5104,3,1,1985
76.5048,7.3,1,1985
60.96,2.5,1,1985
62.992,3.1,1,1985
30.734,0.5,1,1985
30.988,0.43,1,1985
34.29,0.54,1,1985
34.29,0.65,1,1985
34.29,0.65,1,1985
38.608,1.2,1,1985
39.37,0.58,1,1985
42.672,0.78,1,1985
39.878,0.83,1,1985
47.752,1.5,1,1985
52.07,1.4,1,1985
52.832,1.5,1,1985
53.34,1,1,1985
56.134,1.4,1,1985
56.388,1.6,1,1985
48.5902,0.75,1,1985
77.4954,6.8,1,1985
54.864,2.2,1,1985
57.404,1.7,1,1985
57.404,1.8,1,1985
57.404,1.5,1,1985
66.04,3,1,1985
61.468,2.5,1,1985
57.912,1.9,1,1985
76.9874,5,1,1985
70.5104,6.9,1,1985
75.9968,8.6,1,1985
67.4878,3.3,1,1985
65.9892,4.4,1,1985
71.501,9,1,1985
67.9958,4.8,1,1985
67.0052,5.8,1,1985
78.0034,8.4,1,1985
66.4972,3.3,1,1985
70.993,4.3,1,1985
74.4982,2.9,1,1985
72.9996,8.2,1,1985
74.4982,6.2,1,1985
75.9968,7.3,1,1985
62.0014,2.5,1,1985
78.0034,8,1,1985
76.5048,4.5,1,1985
51.0032,2.8,1,1985
60.6044,2,1,1985
81.9912,8.5,1,1985
65.9892,4,1,1985
56.896,1.4,1,1985
57.5056,2.3,1,1985
60.8076,2.4,1,1985
61.1886,2.1,1,1985
62.0014,2.7,1,1985
62.0014,2.4,1,1985
62.7888,4.4,1,1985
64.4906,3.1,1,1985
65.5066,3.3,1,1985
65.9892,3.9,1,1985
67.0052,3.4,1,1985
67.9958,2.3,1,1985
69.4944,2.8,1,1985
71.501,3.6,1,1985
72.009,3.7,1,1985
78.994,4.9,1,1985
83.4898,6.4,1,1985
84.5312,5.3,1,1985
64.4906,2.5,1,1985
72.4916,4.2,1,1985
67.99999999,3.2,1,1986
75.00000001,35.78,1,1986
74.00000001,11.44,1,1986
71.99999999,3.87,1,1986
63.99999999,4.73,1,1986
63.5,3.73,1,1986
67.00000001,2.92,1,1986
63.99999999,3.1,1,1986
62.49999999,2.65,1,1986
63.00000001,2.79,1,1986
62.49999999,1.23,1,1986
60.50000001,1.03,1,1986
66.49999999,0.94,1,1986
64.50000001,0.79,1,1986
62.49999999,0.78,1,1986
58,1.22,1,1986
70,1.26,1,1986
63.00000001,1.03,1,1986
62,0.51,1,1986
57,0.72,1,1986
42.0878,2.8,1,1986
49.9872,1.2,1,1986
45.72,1.4,1,1986
48.26,1.3,1,1986
50.8,1.4,1,1986
67.19999999,2.47,1,1987
66.20000001,1.74,1,1987
71.00000001,4.68,1,1987
68.50000001,1.55,1,1987
74.20000001,2.76,1,1987
65.8,1.69,1,1987
70.6,5.47,1,1987
71.09999999,4.56,1,1987
79.79999999,22.49,1,1987
66.29999999,2.81,1,1987
70,2.94,1,1987
66,3.05,1,1987
71.70000001,2.44,1,1987
67.00000001,1.44,1,1987
71.99999999,3.75,1,1987
66,3.18,1,1987
71.5,1.97,1,1987
66,1.79,1,1987
72.2,4.38,1,1987
75.5,4.788,1,1989
69.1,3.318,1,1989
72.79999999,2.411,1,1989
65,2.473,1,1989
67.19999999,2.126,1,1989
71.5,2.02,1,1989
63.19999999,2.523,1,1989
70.20000001,2.147,1,1989
73.59999999,1.883,1,1989
70.20000001,2.646,1,1989
63.5,0.917,1,1989
63.70000001,0.903,1,1989
63.99999999,0.711,1,1989
62.10000001,1.009,1,1989
65.1,0.881,1,1989
64.4,1.13,1,1989
61.2,0.798,1,1989
62.10000001,0.822,1,1989
61.2,0.935,1,1989
62.6,1.017,1,1989
56.642,0.65,1,1990
58.42,0.89,1,1990
52.324,0.29,1,1990
60.96,0.68,1,1990
61.976,2.2,1,1990
64.008,1.6,1,1990
65.532,1.3,1,1990
66.802,2.3,1,1990
68.58,1.5,1,1990
71.628,2.3,1,1990
74.422,2.5,1,1990
78.994,2.7,1,1990
86.614,12,1,1990
58.42,1.8,1,1990
58.42,1.2,1,1990
58.674,1.5,1,1990
62.484,1.3,1,1990
61.214,1.2,1,1990
69.85,2.1,1,1990
66.04,1.5,1,1990
76.2,6,1,1990
81.28,9.3,1,1990
57.15,0.58,1,1990
58.674,0.96,1,1990
57.912,2,1,1990
60.452,2.8,1,1990
63.754,1.7,1,1990
65.786,4.4,1,1990
66.548,1.6,1,1990
52.3,0.633,1,1991
55.7,0.902,1,1991
52.99999999,1.28,1,1991
60.50000001,0.854,1,1991
59.5,1.22,1,1991
70.5,2.64,1,1991
73.59999999,1.65,1,1991
71.5,4.07,1,1991
68.2,1.66,1,1991
71.99999999,1.53,1,1991
71.12,1.7,1,1992
75.438,2.5,1,1992
81.28,5.8,1,1992
69.342,1.7,1,1992
69.85,2.4,1,1992
78.232,3.1,1,1992
53.34,0.52,1,1992
55.88,0.96,1,1992
55.88,0.67,1,1992
60.96,0.82,1,1992
66.04,1.2,1,1992
66.04,1.2,1,1992
66.04,1.7,1,1992
73.66,4.2,1,1992
73.66,3.1,1,1992
62.484,2.7,1,1992
56.642,1.1,1,1992
61.468,1.1,1,1992
65.024,3,1,1992
66.802,1.3,1,1992
68.072,1.9,1,1992
69.596,1.6,1,1992
70.866,2.7,1,1992
71.628,3.6,1,1992
73.66,2.7,1,1992
74.93,1.8,1,1992
76.454,2,1,1992
